vocab_size,model_name,text_column,ngram,vectorizer,splitting_criterion,tree_max_depth,tree_max_features,accuracy
10000,DecisionTreeClassifier(),text_porter_stemmed,"(1, 3)","CountVectorizer(max_features=10000, ngram_range=(1, 3))",gini,7,,0.579
10000,DecisionTreeClassifier(),text_porter_stemmed,"(1, 1)",CountVectorizer(max_features=10000),gini,7,,0.579
1000,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 2)","CountVectorizer(max_features=1000, ngram_range=(1, 2))",gini,7,,0.5785
1000,DecisionTreeClassifier(),text_porter_stemmed,"(1, 2)","CountVectorizer(max_features=1000, ngram_range=(1, 2))",gini,7,,0.5785
1000,DecisionTreeClassifier(),text_porter_stemmed,"(1, 3)","CountVectorizer(max_features=1000, ngram_range=(1, 3))",gini,7,,0.5765
100,DecisionTreeClassifier(),text_no_numerals,"(1, 2)","CountVectorizer(max_features=100, ngram_range=(1, 2))",gini,7,,0.574
1000,DecisionTreeClassifier(),text_porter_stemmed,"(1, 2)","TfidfVectorizer(max_features=1000, ngram_range=(1, 2))",gini,7,,0.5735
100,DecisionTreeClassifier(),text_no_numerals,"(1, 3)","CountVectorizer(max_features=100, ngram_range=(1, 3))",gini,7,,0.5735
1000,DecisionTreeClassifier(),text_porter_stemmed,"(1, 1)",CountVectorizer(max_features=1000),gini,5,,0.5725
100,DecisionTreeClassifier(),text_porter_stemmed,"(1, 2)","CountVectorizer(max_features=100, ngram_range=(1, 2))",gini,5,,0.5725
1000,DecisionTreeClassifier(),text_porter_stemmed,"(1, 1)",TfidfVectorizer(max_features=1000),gini,7,,0.572
10000,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 3)","CountVectorizer(max_features=10000, ngram_range=(1, 3))",gini,5,,0.572
100,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 2)","TfidfVectorizer(max_features=100, ngram_range=(1, 2))",gini,7,,0.5715
1000,DecisionTreeClassifier(),text_lemmatized,"(1, 3)","TfidfVectorizer(max_features=1000, ngram_range=(1, 3))",gini,7,,0.5715
10000,DecisionTreeClassifier(),text_porter_stemmed,"(1, 2)","CountVectorizer(max_features=10000, ngram_range=(1, 2))",gini,5,,0.5715
1000,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 1)",CountVectorizer(max_features=1000),gini,5,,0.571
10000,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 2)","CountVectorizer(max_features=10000, ngram_range=(1, 2))",gini,5,,0.571
100,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 1)",CountVectorizer(max_features=100),gini,7,sqrt,0.5705
100,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 2)","CountVectorizer(max_features=100, ngram_range=(1, 2))",gini,5,,0.5705
1000,DecisionTreeClassifier(),text_lemmatized,"(1, 3)","CountVectorizer(max_features=1000, ngram_range=(1, 3))",gini,5,,0.5695
1000,DecisionTreeClassifier(),text_lemmatized,"(1, 2)","CountVectorizer(max_features=1000, ngram_range=(1, 2))",gini,5,,0.5695
1000,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 1)",TfidfVectorizer(max_features=1000),gini,5,,0.569
10000,DecisionTreeClassifier(),text_no_numerals,"(1, 1)",CountVectorizer(max_features=10000),gini,5,,0.569
10000,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 2)","TfidfVectorizer(max_features=10000, ngram_range=(1, 2))",gini,5,,0.569
1000,DecisionTreeClassifier(),text_no_numerals,"(1, 3)","CountVectorizer(max_features=1000, ngram_range=(1, 3))",gini,7,,0.5685
10000,DecisionTreeClassifier(),text_porter_stemmed,"(1, 1)",TfidfVectorizer(max_features=10000),gini,5,,0.5685
10000,DecisionTreeClassifier(),text_lemmatized,"(1, 2)","CountVectorizer(max_features=10000, ngram_range=(1, 2))",gini,5,,0.568
100,DecisionTreeClassifier(),text_lemmatized,"(1, 2)","CountVectorizer(max_features=100, ngram_range=(1, 2))",gini,5,,0.568
1000,DecisionTreeClassifier(),text_lemmatized,"(1, 2)","TfidfVectorizer(max_features=1000, ngram_range=(1, 2))",gini,5,,0.568
1000,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 2)","TfidfVectorizer(max_features=1000, ngram_range=(1, 2))",gini,5,,0.568
10000,DecisionTreeClassifier(),text_no_numerals,"(1, 2)","CountVectorizer(max_features=10000, ngram_range=(1, 2))",gini,7,,0.5675
10000,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 3)","TfidfVectorizer(max_features=10000, ngram_range=(1, 3))",gini,5,,0.567
10000,DecisionTreeClassifier(),text_no_numerals,"(1, 3)","CountVectorizer(max_features=10000, ngram_range=(1, 3))",gini,5,,0.567
1000,DecisionTreeClassifier(),text_no_numerals,"(1, 1)",TfidfVectorizer(max_features=1000),gini,7,,0.567
10000,DecisionTreeClassifier(),text_lemmatized,"(1, 3)","CountVectorizer(max_features=10000, ngram_range=(1, 3))",gini,7,,0.567
1000,DecisionTreeClassifier(),text_no_numerals,"(1, 2)","CountVectorizer(max_features=1000, ngram_range=(1, 2))",gini,7,,0.5665
10000,DecisionTreeClassifier(),text_lemmatized,"(1, 1)",CountVectorizer(max_features=10000),gini,7,,0.5665
1000,DecisionTreeClassifier(),text_lemmatized,"(1, 1)",CountVectorizer(max_features=1000),gini,7,,0.566
1000,DecisionTreeClassifier(),text_lemmatized,"(1, 1)",TfidfVectorizer(max_features=1000),gini,7,,0.5655
10000,DecisionTreeClassifier(),text_no_numerals,"(1, 1)",TfidfVectorizer(max_features=10000),gini,5,,0.5655
100,DecisionTreeClassifier(),text_no_numerals,"(1, 3)","TfidfVectorizer(max_features=100, ngram_range=(1, 3))",gini,7,,0.5655
10000,DecisionTreeClassifier(),text_lemmatized,"(1, 1)",TfidfVectorizer(max_features=10000),gini,7,,0.5645
100,DecisionTreeClassifier(),text_no_numerals,"(1, 1)",TfidfVectorizer(max_features=100),gini,7,sqrt,0.5645
100,DecisionTreeClassifier(),text_lemmatized,"(1, 3)","TfidfVectorizer(max_features=100, ngram_range=(1, 3))",gini,5,,0.564
10000,DecisionTreeClassifier(),text_no_numerals,"(1, 2)","TfidfVectorizer(max_features=10000, ngram_range=(1, 2))",gini,5,,0.564
100,DecisionTreeClassifier(),text_lemmatized,"(1, 2)","TfidfVectorizer(max_features=100, ngram_range=(1, 2))",gini,3,,0.5625
100,DecisionTreeClassifier(),text_porter_stemmed,"(1, 1)",TfidfVectorizer(max_features=100),gini,5,,0.5625
100,DecisionTreeClassifier(),text_porter_stemmed,"(1, 3)","CountVectorizer(max_features=100, ngram_range=(1, 3))",gini,7,log2,0.5625
100,DecisionTreeClassifier(),text_no_numerals,"(1, 1)",CountVectorizer(max_features=100),gini,7,,0.562
100,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 3)","TfidfVectorizer(max_features=100, ngram_range=(1, 3))",gini,5,,0.562
10000,DecisionTreeClassifier(),text_lemmatized,"(1, 2)","TfidfVectorizer(max_features=10000, ngram_range=(1, 2))",gini,5,,0.561
100,DecisionTreeClassifier(),text_lemmatized,"(1, 3)","CountVectorizer(max_features=100, ngram_range=(1, 3))",gini,7,log2,0.559
100,DecisionTreeClassifier(),text_porter_stemmed,"(1, 3)","TfidfVectorizer(max_features=100, ngram_range=(1, 3))",gini,5,,0.559
1000,DecisionTreeClassifier(),text_no_sw,"(1, 3)","CountVectorizer(max_features=1000, ngram_range=(1, 3))",gini,7,,0.5585
100,DecisionTreeClassifier(),text_porter_stemmed,"(1, 2)","TfidfVectorizer(max_features=100, ngram_range=(1, 2))",gini,5,,0.5585
100,DecisionTreeClassifier(),text_lemmatized,"(1, 1)",CountVectorizer(max_features=100),gini,7,log2,0.5585
10000,DecisionTreeClassifier(),text_no_sw,"(1, 2)","CountVectorizer(max_features=10000, ngram_range=(1, 2))",gini,7,,0.558
1000,DecisionTreeClassifier(),text_no_numerals,"(1, 3)","TfidfVectorizer(max_features=1000, ngram_range=(1, 3))",gini,7,,0.558
10000,DecisionTreeClassifier(),text_lemmatized,"(1, 3)","TfidfVectorizer(max_features=10000, ngram_range=(1, 3))",gini,3,,0.557
10000,DecisionTreeClassifier(),text_no_sw,"(1, 3)","CountVectorizer(max_features=10000, ngram_range=(1, 3))",gini,7,,0.557
1000,DecisionTreeClassifier(),text_no_sw,"(1, 2)","CountVectorizer(max_features=1000, ngram_range=(1, 2))",gini,7,,0.5565
100,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 1)",TfidfVectorizer(max_features=100),gini,7,sqrt,0.5565
10000,DecisionTreeClassifier(),text_porter_stemmed,"(1, 3)","TfidfVectorizer(max_features=10000, ngram_range=(1, 3))",gini,3,,0.5555
10000,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 1)",TfidfVectorizer(max_features=10000),gini,3,,0.555
1000,DecisionTreeClassifier(),text_no_numerals,"(1, 1)",CountVectorizer(max_features=1000),gini,3,,0.555
100,DecisionTreeClassifier(),text_lemmatized,"(1, 1)",TfidfVectorizer(max_features=100),gini,5,,0.555
1000,DecisionTreeClassifier(),text_no_sw,"(1, 1)",TfidfVectorizer(max_features=1000),gini,7,,0.5545
1000,DecisionTreeClassifier(),text_porter_stemmed,"(1, 3)","TfidfVectorizer(max_features=1000, ngram_range=(1, 3))",gini,3,,0.5545
10000,DecisionTreeClassifier(),text_no_numerals,"(1, 3)","TfidfVectorizer(max_features=10000, ngram_range=(1, 3))",gini,7,,0.554
100,DecisionTreeClassifier(),text_no_numerals,"(1, 2)","TfidfVectorizer(max_features=100, ngram_range=(1, 2))",gini,5,,0.5535
10000,DecisionTreeClassifier(),text_porter_stemmed,"(1, 2)","TfidfVectorizer(max_features=10000, ngram_range=(1, 2))",gini,7,,0.553
10000,DecisionTreeClassifier(),text_no_sw,"(1, 3)","TfidfVectorizer(max_features=10000, ngram_range=(1, 3))",gini,7,,0.552
100,DecisionTreeClassifier(),text_no_sw,"(1, 3)","CountVectorizer(max_features=100, ngram_range=(1, 3))",gini,7,,0.552
100,DecisionTreeClassifier(),text_no_sw,"(1, 1)",CountVectorizer(max_features=100),gini,7,,0.552
1000,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 3)","TfidfVectorizer(max_features=1000, ngram_range=(1, 3))",gini,7,sqrt,0.5515
1000,DecisionTreeClassifier(),text_no_numerals,"(1, 2)","TfidfVectorizer(max_features=1000, ngram_range=(1, 2))",gini,3,,0.5515
10000,DecisionTreeClassifier(),text_no_sw,"(1, 1)",TfidfVectorizer(max_features=10000),gini,7,,0.5495
100,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 3)","CountVectorizer(max_features=100, ngram_range=(1, 3))",gini,3,sqrt,0.5495
100,DecisionTreeClassifier(),text_no_sw,"(1, 1)",TfidfVectorizer(max_features=100),gini,7,,0.5485
100,DecisionTreeClassifier(),text_no_sw,"(1, 2)","TfidfVectorizer(max_features=100, ngram_range=(1, 2))",gini,7,,0.5475
100,DecisionTreeClassifier(),text_no_sw,"(1, 3)","TfidfVectorizer(max_features=100, ngram_range=(1, 3))",gini,7,,0.547
