vocab_size,model_type,text_column,ngram,accuracy,final_validation_acc
,MultinomialNB(),text_no_numerals,"(1, 2)",0.722,0.66
1000.0,MultinomialNB(),text_no_sw,"(1, 1)",0.718,0.625
10000.0,MultinomialNB(),text_no_numerals,"(1, 1)",0.718,0.7
1000.0,MultinomialNB(),text_no_numerals,"(1, 1)",0.718,0.69
,MultinomialNB(),text_no_numerals,"(1, 1)",0.716,0.705
,BernoulliNB(),text_no_numerals,"(1, 1)",0.716,0.67
10000.0,MultinomialNB(),text_porter_stemmed,"(1, 3)",0.715,0.635
10000.0,MultinomialNB(),text_porter_stemmed,"(1, 2)",0.714,0.635
1000.0,MultinomialNB(),text_porter_stemmed,"(1, 1)",0.714,0.66
,BernoulliNB(),text_no_numerals,"(1, 2)",0.714,0.64
